Pricing Option,Call Point,PPG - Item,Promo Description Notes,Promo Description,Custom Pricing Approval Status,Weeks,Price Book Weeks,Weekly Volume (cases per store),Total Cases Budgeted,▼▼▼ RETAILER ▼▼▼,Suggested Retail Price,Suggested Retail Price [Price Book],Retailer Revenue,Net Unit Cost (after scans),Retailer Total COGS,Retailer Margin $,Retailer Margin %,▼▼▼ DISTRIBUTOR ▼▼▼,Net Revenue,Case Cost,Distributor Total COGS,Distributor Gross Margin $,Distributor Gross Margin %,▼▼▼ TALKING RAIN ▼▼▼,TR Revenue,Discount (per case),TR Share of Discount,Scan Back $ (per case),Discount (per case) [Price Book],TR Share of Discount [Price Book],Scan Back $ (per case) [Price Book],Overall TR Discount,TR Net Revenue,TR Total COGS,TR Gross Margin $,TR Gross Margin %
Price 1,AOM,SI 12/17oz Loose,,$1.59,,,24 wks,0 cs/store,0 cs,,,$ 1.59,$ 0,$ 12.84,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,$ 0,0%
Price 2,AOM,SI 12/17oz Loose,,$1.25,,,16 wks,0 cs/store,0 cs,,,$ 1.25,$ 0,$ 10.20,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 2.64,$ 1.55,$ 0,$ 1.55,$ 0,$ 0,$ 0,0%
Price 3,AOM,SI 12/17oz Loose,,$1.00,,,12 wks,0 cs/store,0 cs,,,$ 1.00,$ 0,$ 9.24,$ 0,$ 0,0%,,$ 0,$ 9.00,$ 0,$ 0,0%,,$ 0,,,,$ 3.60,$ 2.25,$ 0,$ 2.25,$ 0,$ 0,$ 0,0%
Price 1,7 Eleven DSD,SI 12/17oz Loose,,$1.89,,16 wks,,0.9 cs/store,"5,760 cs",,,$ 1.89,"$ 130,637",$ 11.28,"$ 64,973","$ 65,664",50.26%,,"$ 71,885",$ 9.00,"$ 51,840","$ 20,045",30.85%,,"$ 51,840",,,,$ 1.56,$ 1.2,$ 0,$ 1.20,"$ 44,928","$ 26,438","$ 18,490",35.67%
Price 2,7 Eleven DSD,SI 12/17oz Loose,,$1.50,,36 wks,,1 cs/store,"14,400 cs",,,$ 1.50,"$ 259,200",$ 11.04,"$ 158,976","$ 100,224",38.67%,,"$ 171,072",$ 9.00,"$ 129,600","$ 41,472",26.09%,,"$ 129,600",,,,$ 1.80,$ 0.84,$ 0,$ 0.84,"$ 117,504","$ 66,096","$ 51,408",39.67%
Price 1,AAFES,SI 12/17oz Loose,,$1.59,,20 wks,,1 cs/store,"2,720 cs",,,$ 1.59,"$ 51,898",$ 11.52,"$ 31,334","$ 20,563",39.62%,,"$ 32,966",$ 9.00,"$ 24,480","$ 8,486",27.08%,,"$ 24,480",,,,$ 1.32,$ 0.6,$ 0,$ 0.60,"$ 22,848","$ 12,485","$ 10,363",42.33%
Price 2,AAFES,SI 12/17oz Loose,,$1.25,,32 wks,,1.5 cs/store,"6,528 cs",,,$ 1.25,"$ 97,920",$ 10.44,"$ 68,152","$ 29,768",30.40%,,"$ 76,573",$ 9.00,"$ 58,752","$ 17,821",26.15%,,"$ 58,752",,,,$ 2.40,$ 1.29,$ 0,$ 1.29,"$ 50,331","$ 29,964","$ 20,367",34.67%
Price 1,ABC Stores LV,SI 12/17oz Loose,,$1.99,,28 wks,,3 cs/store,420 cs,,,$ 1.99,"$ 10,030",$ 12.00,"$ 5,040","$ 4,990",49.75%,,"$ 5,292",$ 9.00,"$ 3,780","$ 1,512",30.00%,,"$ 3,780",,,,$ 0.84,$ 0.6,$ 0,$ 0.60,"$ 3,528","$ 1,928","$ 1,600",42.33%
Price 2,ABC Stores LV,SI 12/17oz Loose,,$1.67,,16 wks,,4 cs/store,320 cs,,,$ 1.67,"$ 6,413",$ 11.28,"$ 3,610","$ 2,803",43.71%,,"$ 3,994",$ 9.00,"$ 2,880","$ 1,114",30.85%,,"$ 2,880",,,,$ 1.56,$ 1.2,$ 0,$ 1.20,"$ 2,496","$ 1,469","$ 1,027",35.67%
Price 3,ABC Stores LV,SI 12/17oz Loose,,$1.50,,8 wks,,4.5 cs/store,180 cs,,,$ 1.50,"$ 3,240",$ 10.08,"$ 1,814","$ 1,426",44.00%,,"$ 2,117",$ 9.00,"$ 1,620",$ 496.8,27.38%,,"$ 1,620",,,,$ 2.76,$ 1.68,$ 0,$ 1.68,"$ 1,318",$ 826,$ 491,30.33%
Price 1,ABSCO Denver,SI 12/17oz Loose,,$1.49,,,12 wks,10 cs/store,"13,440 cs",,,$ 1.49,"$ 240,307",$ 12.00,"$ 161,280","$ 79,027",32.89%,,"$ 169,344",$ 9.00,"$ 120,960","$ 48,384",30.00%,,"$ 120,960",,,,$ 0.84,$ 0.6,$ 0,$ 0.60,"$ 112,896","$ 61,690","$ 51,206",42.33%
Price 2,ABSCO Denver,SI 12/17oz Loose,,$1.25,,,24 wks,15 cs/store,"40,320 cs",,,$ 1.25,"$ 604,800",$ 10.08,"$ 406,426","$ 198,374",32.80%,,"$ 474,163",$ 9.00,"$ 362,880","$ 111,283",27.38%,,"$ 362,880",,,,$ 2.76,$ 1.68,$ 0,$ 1.68,"$ 295,142","$ 185,069","$ 110,074",30.33%
Price 3,ABSCO Denver,SI 12/17oz Loose,,$1.00,,,16 wks,29.2 cs/store,"52,326 cs",,,$ 1.00,"$ 627,917",$ 9.00,"$ 470,938","$ 156,979",25.00%,,"$ 593,381",$ 9.00,"$ 470,938","$ 122,444",26.00%,,"$ 470,938",,,,$ 3.84,$ 2.34,$ 0,$ 2.34,"$ 348,494","$ 240,178","$ 108,316",23.00%
Price 1,ABSCO Haggens,SI 12/17oz Loose,,$1.49,,,12 wks,10.5 cs/store,"1,890 cs",,,$ 1.49,"$ 33,793",$ 12.00,"$ 22,680","$ 11,113",32.89%,,"$ 23,814",$ 9.00,"$ 17,010","$ 6,804",30.00%,,"$ 17,010",,,,$ 0.84,$ 0.6,$ 0,$ 0.60,"$ 15,876","$ 8,675","$ 7,201",42.33%
Price 2,ABSCO Haggens,SI 12/17oz Loose,,$1.25,,,24 wks,19.47 cs/store,"7,008 cs",,,$ 1.25,"$ 105,122",$ 10.08,"$ 70,642","$ 34,480",32.80%,,"$ 82,415",$ 9.00,"$ 63,073","$ 19,342",27.38%,,"$ 63,073",,,,$ 2.76,$ 1.68,$ 0,$ 1.68,"$ 51,299","$ 32,167","$ 19,132",30.33%
Price 3,ABSCO Haggens,SI 12/17oz Loose,,$1.00,,,16 wks,28 cs/store,"6,720 cs",,,$ 1.00,"$ 80,640",$ 9.00,"$ 60,480","$ 20,160",25.00%,,"$ 76,205",$ 9.00,"$ 60,480","$ 15,725",26.00%,,"$ 60,480",,,,$ 3.84,$ 2.34,$ 0,$ 2.34,"$ 44,755","$ 30,845","$ 13,910",23.00%
Price 1,ABSCO IM,SI 12/17oz Loose,,$1.49,,,12 wks,15 cs/store,"15,480 cs",,,$ 1.49,"$ 276,782",$ 12.00,"$ 185,760","$ 91,022",32.89%,,"$ 195,048",$ 9.00,"$ 139,320","$ 55,728",30.00%,,"$ 139,320",,,,$ 0.84,$ 0.6,$ 0,$ 0.60,"$ 130,032","$ 71,053","$ 58,979",42.33%
